wallet,signature,type,tokenAddress,collection,collectionSymbol,blockTime,price,purchaseType,buyer,seller
3VvW7nFRQDR6NDJZHkUzXfe6XnZcXGaTcpVFu8VgEthU,2tMjZjWKzX5Jgn81bpQ7KnLQVS4UiLq3RarFECNDBAGej5f5YXxVNYJ5u6y37vyfymHT7ETNRKERRN6hdsNvkkdi,buyNow,uwg17VdZ1eMhtSohbXDwj5mEPcoGLFnkNknvzKsybxo,ggsg_enigma_crystals,ggsg_enigma_crystals,09-29-22 10:00,5.9,Seller,Ga1d3vk3qi85gz1fnG2nkZMRCZ5aV3s5cK6UT6pipYpN,3VvW7nFRQDR6NDJZHkUzXfe6XnZcXGaTcpVFu8VgEthU
3VvW7nFRQDR6NDJZHkUzXfe6XnZcXGaTcpVFu8VgEthU,3kGy92Qjg3DMnf1bTjciEfeQJ7Pqt4NLW5EWyNkBMQ9iQaPwLnHgZpaKf4hsjzDqvorFJJMUUgw5fnKhEnbSkyT2,buyNow,345mcTTfGZAWqKnAo1EFB681qsDuqZtkDQPz7R9bqA5B,ggsg_concordians,ggsg_concordians,09-09-22 18:36,2.5,Seller,CLtNVN1VXRjSjnuz33jptBW81xcijiKSQeu7Xt32NHdC,3VvW7nFRQDR6NDJZHkUzXfe6XnZcXGaTcpVFu8VgEthU
3VvW7nFRQDR6NDJZHkUzXfe6XnZcXGaTcpVFu8VgEthU,TYhJDPLHZQ3zU123TcWq32YvU86vdJsUdzgS98btt529MM11Au3nCp8yPvzZiDmWiCokG3R1ts44bwpbmWmajPW,list,uwg17VdZ1eMhtSohbXDwj5mEPcoGLFnkNknvzKsybxo,ggsg_enigma_crystals,ggsg_enigma_crystals,09-09-22 11:56,5.9,Seller,,3VvW7nFRQDR6NDJZHkUzXfe6XnZcXGaTcpVFu8VgEthU
3VvW7nFRQDR6NDJZHkUzXfe6XnZcXGaTcpVFu8VgEthU,2fdyb5Uu6hmmrnN1iWULy73Zxe4fF3gHnfePvZ67y97LTSWDNdvJzHfjq2sdzNvYduW3BHCx8U6SoBVwQw3ggbBm,list,345mcTTfGZAWqKnAo1EFB681qsDuqZtkDQPz7R9bqA5B,ggsg_concordians,ggsg_concordians,09-09-22 11:55,2.5,Seller,,3VvW7nFRQDR6NDJZHkUzXfe6XnZcXGaTcpVFu8VgEthU
3VvW7nFRQDR6NDJZHkUzXfe6XnZcXGaTcpVFu8VgEthU,5KxiSPPRMe8TqPt1k23R8rBnvTAHEF7WXaSFrj9Ve3N2iRPtEp9FkekJifreK1AnZTjsyFrnH4pgvn89i4g4JMyJ,buyNow,DcNxn5Zj9g7aFa11ePEpSUjBeczfvLPTp2MnQdLeJXvF,solana_monkey_business,solana_monkey_business,05-23-22 00:41,166.0,Buyer,3VvW7nFRQDR6NDJZHkUzXfe6XnZcXGaTcpVFu8VgEthU,5cA3azcicxFDM31zBGdWUb4fAkue8Eg3wxDUxuC7kMVH
3VvW7nFRQDR6NDJZHkUzXfe6XnZcXGaTcpVFu8VgEthU,5KxiSPPRMe8TqPt1k23R8rBnvTAHEF7WXaSFrj9Ve3N2iRPtEp9FkekJifreK1AnZTjsyFrnH4pgvn89i4g4JMyJ,bid,DcNxn5Zj9g7aFa11ePEpSUjBeczfvLPTp2MnQdLeJXvF,solana_monkey_business,solana_monkey_business,05-23-22 00:41,166.0,Buyer,3VvW7nFRQDR6NDJZHkUzXfe6XnZcXGaTcpVFu8VgEthU,
3VvW7nFRQDR6NDJZHkUzXfe6XnZcXGaTcpVFu8VgEthU,mwhPh2cMbXMepBmj9uCzjDZWfhQJCZcNy5TpGWGrRDoFYVnva63VpHif5gR3NKDtBwboUDY4g8pzU6ro3ZBrqsd,buy,F6DkEY6e3AQDcfNH8oASqfy35PGnbhCVRjLa7XADLQBg,galactic_geckos,galactic_geckos,02-04-22 15:35,500.0,Seller,BvMH7aJHC8y73a5sx4y6B5zB967tGJ6MHeyKsP7KoY9J,3VvW7nFRQDR6NDJZHkUzXfe6XnZcXGaTcpVFu8VgEthU
3VvW7nFRQDR6NDJZHkUzXfe6XnZcXGaTcpVFu8VgEthU,2W9KPLWK5jeARUfmGGR17NUXFqWW4qpt4DXSk3yf527ahnrwmey8KpturUyssakHERNBR8b2X83wX35JN5HjP784,buyNow,HhovFgwSLsskw9d6iVRXs6gcYZtkHzgu5BwP6NUiAK1B,portals,portals,01-13-22 12:21,32.8,Seller,C9WNhC9im4JPsCBToUfgP9QZBnqoQkrCQV4mHMrQdUgn,3VvW7nFRQDR6NDJZHkUzXfe6XnZcXGaTcpVFu8VgEthU
3VvW7nFRQDR6NDJZHkUzXfe6XnZcXGaTcpVFu8VgEthU,2T6cCNaEM9kHFAKQrhzr5sRMc7u3foDe5L9Ed4xhaiMrLLuVV2Dgst8vXAJ1XkqwLBcDsUDs6RVGPMnsGBHaZD2D,list,HhovFgwSLsskw9d6iVRXs6gcYZtkHzgu5BwP6NUiAK1B,portals,portals,01-13-22 12:20,32.8,Seller,n/a,3VvW7nFRQDR6NDJZHkUzXfe6XnZcXGaTcpVFu8VgEthU
3VvW7nFRQDR6NDJZHkUzXfe6XnZcXGaTcpVFu8VgEthU,cxFG2NtS7WHLGKbCChKnimn4DRhiRKwX8EbCVPhKteFxjCXB9M6LRpgUPKCLfY1G35NuMzJeuYttceRboTVdhro,list,F6DkEY6e3AQDcfNH8oASqfy35PGnbhCVRjLa7XADLQBg,galactic_geckos,galactic_geckos,01-13-22 11:18,1000.0,Seller,n/a,3VvW7nFRQDR6NDJZHkUzXfe6XnZcXGaTcpVFu8VgEthU
3VvW7nFRQDR6NDJZHkUzXfe6XnZcXGaTcpVFu8VgEthU,3uEFx8AXmVp651jdTw6uTC6AtG5p2qpoGx5gr11vD5qDiuVYCd2asBeYScENfMKve8t8zpmGfPQeh8dPfgwvpiYG,delist,345mcTTfGZAWqKnAo1EFB681qsDuqZtkDQPz7R9bqA5B,ggsg_concordians,ggsg_concordians,01-13-22 11:17,0.0,Seller,n/a,3VvW7nFRQDR6NDJZHkUzXfe6XnZcXGaTcpVFu8VgEthU
3VvW7nFRQDR6NDJZHkUzXfe6XnZcXGaTcpVFu8VgEthU,3vfYUgSiWoM3wSYdGzT5UnUuR6yLgTrMhrA4ugyGJMb2zen86BUVpmrv7gBftpZv2CiB6P4ikkPF5o1ZM62U7PR5,delist,H5d3DXJbNPAW1C2cbmRAYc9ZSNS3t8Xdgogxm9yQdZrT,galactic_geckos,galactic_geckos,01-13-22 11:17,0.0,Seller,n/a,3VvW7nFRQDR6NDJZHkUzXfe6XnZcXGaTcpVFu8VgEthU
3VvW7nFRQDR6NDJZHkUzXfe6XnZcXGaTcpVFu8VgEthU,2hoP8X4dj2QMdzupzPheyDjmpBKeKP1sheNUcQfemQEySU7gQHvc5sF9a1bzUFL1jLr3914w44uWP6c681Uvz8o9,delist,uwg17VdZ1eMhtSohbXDwj5mEPcoGLFnkNknvzKsybxo,ggsg_enigma_crystals,ggsg_enigma_crystals,01-13-22 00:38,0.0,Seller,n/a,3VvW7nFRQDR6NDJZHkUzXfe6XnZcXGaTcpVFu8VgEthU
